Continent,Nationality,Type of data,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,Congo (Democratic Republic),Immigration,1054,546,429,399,450,608,737,679,415,238,273,207,171,184,218,216,212,222,293,176,191,187,147,258,199,139,165,288
Africa,Djibouti,Immigration,8,9,15,16,5,19,15,12,15,7,3,3,6,12,7,4,7,3,4,2,8,11,11,7,12,7,15,9
Africa,Egypt,Immigration,579,765,842,877,694,607,670,712,762,660,546,541,568,653,915,864,843,888,971,952,926,1213,1453,1519,1665,1274,1396,1813
Africa,Equatorial Guinea,Immigration,1,1,1,1,0,7,5,6,2,5,0,1,8,6,10,13,11,4,4,7,5,0,6,9,6,7,12,7
Africa,Eritrea,Immigration,11,29,57,49,47,92,97,99,77,91,73,75,119,125,222,295,311,232,459,2092,3319,3195,3065,2677,2493,1764,1393,1146
Africa,eswatini,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,6,7,9,12
Africa,Ethiopia,Immigration,490,408,341,349,384,506,586,524,382,360,346,387,446,519,535,574,605,540,583,1288,2742,3151,1841,1661,1204,873,877,768
Africa,Gabon,Immigration,8,9,11,13,7,3,5,37,8,12,10,1,6,7,11,14,3,5,10,13,13,8,1,8,12,2,11,5
Africa,Gambia,Immigration,10,32,33,47,40,50,48,55,49,44,50,34,27,65,55,83,76,44,58,79,96,111,114,157,211,166,313,145
Africa,Ghana,Immigration,391,690,729,753,546,579,591,581,689,479,943,760,557,860,1351,930,965,698,709,656,628,636,744,907,1057,654,769,1046
Africa,Guinea,Immigration,55,67,93,186,249,516,873,959,316,147,99,72,101,203,251,265,233,180,176,139,113,97,135,151,205,129,170,125
Africa,Guinea-Bissau,Immigration,15,10,10,28,33,25,37,31,25,15,16,12,9,34,22,35,29,18,25,20,21,19,17,20,29,16,27,24
